Date,Time,Sender,Receiver,Message
April 15,8:52am,jack,lottie,Ok, I'll be there.
April 15,7:34pm,lottie,jack,Are you ok? You've been really quiet all day. Are you annoyed about meeting mum?
April 15,8:55pm,jack,lottie,I'm not annoyed. I just don't know if it will work out. I feel a bit funny about it.
April 15,9:04pm,lottie,jack,I'm sorry :(
April 15,9:12pm,jack,lottie,Its ok. You can make up for it by sending me those pics you promised me on valentines day ;) I would love to see you wearing that neacklace I bought you. I bet you look great in it xxx
April 15,9:16pm,lottie,jack,Ok. Shall I use quicksnap again?
April 15,9:17pm,jack,lottie,"Yep thats the safest way. Thanks babe, can't wait to see them xxx"
April 16,8:01am,jack,lottie,You looked so amazing in those pics you sent last night babe. I went to bed dreaming of you xxx
April 16,8:15am,lottie,jack,I'm glad you liked them. I was nervous. When I sent them it came up with a message saying you had screenshotted them - why did you do that?
April 16,8:23am,jack,lottie,Relax! I just wanted to keep a copy of them so I could look at them whenever I want. I promise I won't show them to anyone else. I've password protected them on my computer.xx
April 16,8:27am,lottie,jack,Oh ok.
April 18,7:45pm,lottie,jack,Some guy told me that he thinks he saw pictures of me undressed. I'm really scared. They can't really be pictures of me can they?
April 18,8:03pm,jack,lottie,"No way. Don't worry babe, it must have been someone who looks like you. I would never show anyone photos of you. I don't want other people to see my girlfriend! Anyway you used quicksnap which doesn't save them."
April 18,8:04pm,lottie,jack,But what about the ones you screenshotted?!
April 18,8:07pm,jack,lottie,"I password protected them remember. No one else can see them, I promise. xxx"
April 20,4:55pm,jack,lottie,"Hi babe, are you ok? I haven't heard from you since Saturday."
April 20,8:00pm,jack,lottie,Lottie I'm really missing you. Please message me back. I love you xxxx
April 21,5:30pm,jack,lottie,Are you ok Lottie? You didn't reply to my messages or texts last night. I tried calling too.
April 21,5:50pm,lottie,jack,"I'm ok, but I'm worried cos I got another message from that guy about photos. I feel really funny. I hate the thought of someone seeing photos of me like that. I'm really upset."
April 21,5:54pm,jack,lottie,"I know, it sucks, but you have nothing to worry about. He must have made a mistake."
April 21,6:32pm,lottie,jack,Please don't say anything else on my wall as my friends don't know about the photos. I just want to forget all about it. Please don't be rude to them either!
April 21,6:35pm,jack,lottie,I'm really sorry. I just got really mad as I don't like to see you upset. I'll make it up to you I promise xxx
April 22,7:56pm,jack,lottie,Hi babe. Hope you are ok. Don't let that guy talking about photos get you down. You know I love you and wouldn't do anything to hurt you don't you?
April 22,8:01pm,lottie,jack,"Yes I do, and I love you too."
April 22,8:06pm,jack,lottie,I want everything to be private between us. You are so special to me. Can we meet this weekend? Maybe I can meet your friends? You wanted me to a while ago didn't you? Then I can show them that I won't hurt you.
April 22,8:09pm,lottie,jack,That would be great! Let's go bowling or something.
April 23,8:45pm,jack,lottie,I enjoyed our chat on the phone earlier. I want you to watch the video I text you a link to. Don't watch it with your mum or brother around! It shows what I want to do with you.
April 23,10:05pm,jack,lottie,What did you think about that video? Do you want to get close to me like that? I love you so much. xxx
April 23,10:35pm,lottie,jack,It could be fun ;)
April 24,8:45am,jack,lottie,Can't wait to see you tomorrow gorgeous!
April 24,8:47am,lottie,jack,Me neither! Are you still ok with meeting my friends?
April 24,8:48am,jack,lottie,Yes as long as we can have some alone time in the evening ;) Do you want to come round to my house? My parents are going to be out.
April 24,8:51am,lottie,jack,Yes maybe. I'll have to see if I'm allowed.
April 24,4:12pm,jack,lottie,You aren't still worried about those photos are you? You know you can trust me dont you?
April 24,4:22pm,lottie,jack,I know I can trust you...but I just feel funny about them. I hate the thought of other people looking at my body. I feel self conscious now.
April 24,4:25pm,jack,lottie,But you look amazing! You are the most gorgeous girl I have ever seen. I wish I could see you in real life like you were in those photos. We could do the stuff in the video tomorrow night. I love you. xxx
April 24,4:32pm,lottie,jack,I love you too.
April 25,5:47pm,lottie,jack,"Today was really nice. My friends all really like you :) I'm really sorry I couldn't come round to yours tonight, but mum wants me to babysit again."
April 25,5:49pm,jack,lottie,"I had fun too. Don't worry about tonight. My parents are going on holiday soon, so maybe you can come round then?! Xxxx"
April 25,5:51pm,lottie,jack,Yep hopefully! xx
April 28,7:56pm,jack,lottie,"Hey babe, I heard about a really cool party on Friday night. Do you want to come?"
April 28,8:15pm,lottie,jack,What sort of party?
April 28,8:35pm,jack,lottie,"Its a party at my mates house. Its going to be epic. I would like to take you, and show you off."
April 28,8:39pm,lottie,jack,Ok. Sounds fun.
