Timestamp,Sender,Receiver,Label,Message
January 28 at 4:27pm,lottie,chloe,Normal,Jack sent me a message!
January 28 at 4:35pm,chloe,lottie,Normal,"""Oooh, what did he say?"""
January 28 at 4:39pm,lottie,chloe,Normal,He wanted to make sure I got back ok last night. He also asked if we can meet up!!!
January 28 at 4:43pm,chloe,lottie,Normal,OMG! What did you say?
January 28 at 4:50pm,lottie,chloe,Normal,"""I said yes of course!! He is soo nice, and so good looking! Hes really mature too. Nothing like the boys at school."""
January 28 at 4:55pm,chloe,lottie,Normal,"""Yeah, well he is older so its not surprising! It is exciting though! Where are you going to meet? What will you do? Are you nervous?!"""
January 28 at 5:01pm,lottie,chloe,Normal,I'm not sure yet. Buy yes I am kind of nervous. But really excited too!!
January 29 at 9:55am,jack,lottie,Grooming,Morning sleepy babe. How are you today?
January 29 at 10:05am,lottie,jack,Grooming,"""I'm good, how are you?"""
January 29 at 10:07am,jack,lottie,Grooming,I'm good. I've been thinking about you. Do you want to meet up on Wednesday?
January 29 at 10:10am,lottie,jack,Grooming,Love to :) What time?
January 29 at 10:12am,jack,lottie,Grooming,What time do you finish school?
January 29 at 10:16am,lottie,jack,Grooming,03:30
January 29 at 10:18am,jack,lottie,Grooming,Meet you in the rec at 4pm then?
January 29 at 10:20am,lottie,jack,Grooming,Gr8.
January 29 at 10:22am,jack,lottie,Grooming,See you then. I can't wait.
January 29 at 10:30am,lottie,chloe,Normal,"""You won't believe this! Jack just asked me to meet up on Weds! We are going to the rec. I am so excited, but I'm really nervous. What if he doesn't like me? What if he thinks I'm a silly little kid?"""
January 29 at 10:41am,chloe,lottie,Normal,"""Eeek, thats so exciting! Why don't you glam up to look older?! I could do your eyeliner for you as I'm good at that!"""
January 29 at 10:45am,lottie,chloe,Normal,That would be awesome! Thanks! Do you think its a date?
January 29 at 10:48am,chloe,lottie,Normal,Yeah it must be?! What does your mum think?
January 29 at 10:55am,lottie,chloe,Normal,OMG. I haven't told mum. Shes hardly here anyway!
January 29 at 10:58am,chloe,lottie,Normal,Won't she ask who he is ok iSocialike?
January 29 at 11:02am,lottie,chloe,Normal,"""Haha, no she doesn't use iSocialike! She doesn't have a clue!"""
January 29 at 11:05am,chloe,lottie,Normal,Thats lucky!
January 29 at 11:07am,lottie,chloe,Normal,Yep!
January 30 at 6:04pm,jack,lottie,Grooming,"""Hi Lottie, need some company tonight? ;)"""
January 30 at 6:12pm,lottie,jack,Grooming,Are you offering?!
January 30 at 6:16pm,jack,lottie,Grooming,Can I come round?
January 30 at 6:24pm,lottie,jack,Grooming,"""I would like you to, but I dont think mum would be happy as I'm babysitting. How are you?"""
January 30 at 6:32pm,jack,lottie,Grooming,"""Pretty good thanks, how about you?"""
January 30 at 6:35pm,lottie,jack,Grooming,"""I'm good, just a bit bored."""
January 30 at 6:40pm,jack,lottie,Grooming,I'm really looking forward to seeing you on Weds.
January 30 at 6:45pm,lottie,jack,Grooming,Me too :)
January 30 at 6:49pm,jack,lottie,Grooming,Are you going to be wearing what you wore at the disco?!
January 30 at 6:52pm,lottie,jack,Grooming,"""LOL no, I'll be in my school uniform unfortunately. :/"""
January 30 at 6:55pm,jack,lottie,Grooming,Even better! ;)
January 30 at 7:00pm,lottie,jack,Grooming,"""My mums back, I've got to go. See you on Weds :)"""
January 30 at 7:03pm,jack,lottie,Grooming,"""Bye babes, can't wait to see you."""
January 30 at 7:15pm,lottie,chloe,Normal,OMG Jack messaged me earlier!
January 30 at 7:21pm,chloe,lottie,Normal,Yay! What did he say?
January 30 at 7:25pm,lottie,chloe,Normal,"""He made a joke about coming round, then he said something about me looking good in my school uniform!"""
January 30 at 7:29pm,chloe,lottie,Normal,That's a bit weird! But then a lot of older guys like girls in school uniform I've heard!
January 30 at 7:33pm,lottie,chloe,Normal,Lol its not like hes really old tho!
January 30 at 7:40pm,chloe,lottie,Normal,Yeah but still! Boys our age wouldn't say that.
January 30 at 7:43pm,lottie,chloe,Normal,I can't wait to see him. Hes being so flirty.
January 30 at 7:50pm,chloe,lottie,Normal,That's so cool. I can't believe youve got an older guy interested in you. I'm so jealous!!
January 30 at 7:52pm,lottie,chloe,Normal,Maybe I should see if he has a friend for you?! ;)
January 30 at 7:55pm,chloe,lottie,Normal,Sounds good!
February 1 at 7:01pm,jack,lottie,Grooming,I had such a good time this afternoon. I wish we could have spent longer together.
February 1 at 7:15pm,lottie,jack,Grooming,"""Me too. Sorry I had to leave, but mum doesn't like me staying out late."""
February 1 at 7:19pm,jack,lottie,Grooming,"""I totally understand, I just wish I could be with you ALL the time."""
February 1 at 7:21pm,lottie,jack,Grooming,That's sweet.
February 1 at 7:25pm,jack,lottie,Grooming,Well I think your're really sweet. When can we meet up again?
February 1 at 7:28pm,lottie,jack,Grooming,I'm not sure. Maybe the weekend?
February 1 at 7:33pm,jack,lottie,Grooming,"""How about Saturday? I really wanted to kiss you today, but I wasn't sure if you wanted me to."""
February 1 at 7:40pm,lottie,jack,Grooming,blushing
February 1 at 7:43pm,jack,lottie,Grooming,So how about Saturday then? Can we make it a date for a kiss?
February 1 at 7:49pm,lottie,jack,Grooming,Yes. I'd like that.
February 1 at 7:52pm,jack,lottie,Grooming,Great :) xxx
February 2 at 8:03pm,jack,lottie,Grooming,"""Hi Lottie, how are you? I can't stop thinking about (all) of you. I think you are amazing."""
February 2 at 8:10pm,lottie,jack,Grooming,I'm really good. I keep thinking about you too.
February 2 at 8:14pm,jack,lottie,Grooming,What sort of things are you thinking? I keep thinking about how pretty you are.
February 2 at 8:22pm,lottie,jack,Grooming,I'm blushing! Do you really think that?
February 2 at 8:26pm,jack,lottie,Grooming,Of course. You are beautiful. I love your hair. Gorg!
February 2 at 8:30pm,lottie,jack,Grooming,No one has ever said that to me before. Apart from my mum! lol
February 2 at 8:35pm,jack,lottie,Grooming,Well its the truth.
February 2 at 8:40pm,lottie,jack,Grooming,Thanks. I think you are great too.
February 2 at 8:43pm,jack,lottie,Grooming,That makes me really happy to know that.
February 2 at 8:46pm,lottie,jack,Grooming,:)
February 2 at 8:55pm,lottie,chloe,Normal,OMG you won't believe this amazing message conversation I just had with Jack!
February 2 at 9:01pm,chloe,lottie,Normal,WHAT? What did he say?
February 2 at 9:05pm,lottie,chloe,Normal,He said I am really pretty and then he said I'm beautiful! <3
February 2 at 9:07pm,chloe,lottie,Normal,OMG! He must really like you!
February 2 at 9:11pm,lottie,chloe,Normal,Do you think?
February 2 at 9:15pm,chloe,lottie,Normal,Yeah! He wouldn't say it otherwise!! Do you like him too?
February 2 at 9:18pm,lottie,chloe,Normal,"""Yeah, of course! Hes mature and gorgeous! and really charming too."""
February 2 at 9:23pm,chloe,lottie,Normal,I noticed!
February 3 at 7:45pm,jack,lottie,Grooming,I'm really looking forward to seeing you tomorrow.
February 3 at 7:55pm,lottie,jack,Grooming,Me too!
February 3 at 8:01pm,jack,lottie,Grooming,What shall we do?
February 3 at 8:08pm,lottie,jack,Grooming,"""I don't mind really, you choose :)"""
February 3 at 8:12pm,jack,lottie,Grooming,How about we grab a bite somewhere together?
February 3 at 8:15pm,lottie,jack,Grooming,Sounds perfect.
February 3 at 8:20pm,lottie,chloe,Normal,"""Jack just messaged me, he is going to take me out to lunch tomorrow!!"""
February 3 at 8:25pm,chloe,lottie,Normal,OMG that is sooo grown up! Boys at school would never do that. He must have loads of money!
February 3 at 8:29pm,lottie,chloe,Normal,"""I know, its great. He is so mature. He must have more money than boys at school too."""
February 3 at 8:33pm,lottie,chloe,Normal,"""I'm feeling a bit nervous cos I think I really like him, but he might expect a lot of me."""
February 3 at 8:39pm,chloe,lottie,Normal,"""Don't worry, it will be fine! Tell me all about it wont you tomorrow night online."""
February 3 at 8:43pm,lottie,chloe,Normal,I hope youre right! Ok speak soon xxx
February 5 at 8:48am,lottie,chloe,Normal,Taking this private as I don't want other people reading it!
February 5 at 8:58am,chloe,lottie,Normal,K
February 5 at 9:02am,lottie,chloe,Normal,I didn't tell mum about Jack. I don't want her to freak out about his age.
February 5 at 9:06am,chloe,lottie,Normal,"""You should probaby tell her Lottie. She will probably find out some other way and then you'll get it! Hes only 4 years older, its not that bad."""
February 5 at 9:09am,lottie,chloe,Normal,How will she find out? As long as noone blabs it will be ok.
February 5 at 9:12am,chloe,lottie,Normal,What about stuff online
February 5 at 9:16am,lottie,chloe,Normal,She doesn't use that stuff. She doesn't know how to! And she never uses my computer either.
February 5 at 9:20am,chloe,lottie,Normal,"""Ok, thats good then."""
February 5 at 9:22am,lottie,chloe,Normal,"""Yeah, I'm going to keep it secret for a bit. Jack suggested is as he thinks mum will think hes too old."""
February 5 at 9:25am,chloe,lottie,Normal,Hes probably right.
February 5 at 9:30am,lottie,chloe,Normal,Yep. We'll just see how things go.
February 5 at 9:32am,chloe,lottie,Normal,Does he talk about his mum and dad? What do you know about his friends?
February 5 at 9:38am,lottie,chloe,Normal,He doesn't really talk about them. I think his friends went to uni so they moved away.
February 5 at 4:55pm,jack,lottie,Grooming,Had such a great time yesterday. I wish I could see more of you.
February 5 at 4:59pm,lottie,jack,Grooming,I did too. How about we meet up next week?
February 5 at 5:05pm,jack,lottie,Grooming,That wasn't quite what I mean't ;)
February 5 at 5:10pm,lottie,jack,Grooming,What did you mean then?
February 5 at 5:15pm,jack,lottie,Grooming,"""I meant that I wish I could see more of your body, if you know what I mean... ;)"""
February 5 at 5:28pm,lottie,jack,Grooming,Oh I see! blushes
February 5 at 5:31pm,jack,lottie,Grooming,So what do you say? Will you take some special pictures of yourself for me?
February 5 at 5:45pm,lottie,jack,Grooming,Hmm I'm not sure. I'd feel embarrassed. What if someone else saw them?
February 5 at 5:48pm,jack,lottie,Grooming,Theres nothing to be embarrassed about. You are beautiful. I just really want to see whats under your clothes.
February 5 at 6:10pm,lottie,jack,Grooming,"""Um, I'm not sure I'm ready..."""
February 5 at 6:12pm,jack,lottie,Grooming,"""Ok, thats ok, but I just wanted to tell you what I wanted... Shall we meet up next week then? Are you free after school on Tuesday?"""
February 5 at 6:15pm,lottie,jack,Grooming,"""Yes, I am. Where shall we meet?"""
February 5 at 6:18pm,jack,lottie,Grooming,How about the coffee shop round the corner from your school?
February 5 at 6:22pm,lottie,jack,Grooming,"""Yep ok, see you there about 4?"""
February 5 at 6:25pm,jack,lottie,Grooming,Perfect. Can't wait. Xxx
February 7 at 8:28am,jamila,lottie,Normal,Youre seeing Jack after school again? Didn't you only see him at the weekend?
February 7 at 8:33am,lottie,jamila,Normal,Yep but that was 3 whole days ago!
February 7 at 8:35am,jamila,lottie,Normal,Well can we hang out sometime this week then? Or maybe at the weekend?
February 7 at 8:37am,lottie,jamila,Normal,Of course! I can't do Saturday though as I'm seeing Jack.
February 7 at 8:39am,jamila,lottie,Normal,AGAIN?
February 7 at 8:40am,lottie,jamila,Normal,Well he is my boyfriend. Of course I'm going to spend time with him!
February 7 at 8:42am,jamila,lottie,Normal,I supose. See you in a bit.
February 7 at 5:58pm,louise,lottie,Normal,Looks like you had a great time with Jack after school! What did your mum say when you got home late?
February 7 at 6:10pm,lottie,louise,Normal,Yeah we had loads of fun. He's so gorgeous. Mums out so she didn't know I came in late! Phew!
February 7 at 6:13pm,louise,lottie,Normal,That's lucky!
February 7 at 6:17pm,lottie,louise,Normal,"""Yeah I know, as I still haven't told her about him. Jack thinks its for the best, but I feel like I'm going to have to tell her sooner or later!"""
February 7 at 6:22pm,louise,lottie,Normal,Lucky she doesn't use iSocialike then!
February 7 at 6:25pm,lottie,louise,Normal,I know!
February 7 at 7:58pm,jack,lottie,Grooming,It was great seeing you today. I can't stop thinking about how cute you are. I really WANT you babes.
February 7 at 8:20pm,lottie,jack,Grooming,Aw that is really sweet! I had lots of fun today.
February 7 at 8:23pm,jack,lottie,Grooming,When can we get together again?
February 7 at 8:26pm,lottie,jack,Grooming,The weekend?
February 7 at 8:28pm,jack,lottie,Grooming,But that's ages way! :(
February 7 at 8:35pm,lottie,jack,Grooming,"""I know, but I can't risk staying out after school when mums not working as she will ask me where I've been."""
February 7 at 8:36pm,jack,lottie,Grooming,:(
February 7 at 8:38pm,lottie,jack,Grooming,I'm sorry :(
February 8 at 5:20pm,lottie,jack,Grooming,My friends really want to meet you. They have heard so much about you! Can we all hang out together on Sat?
February 8 at 5:45pm,jack,lottie,Grooming,Hmm I'm not sure. I like having you ALL to myself. Xx
February 8 at 5:50pm,lottie,jack,Grooming,Ok. Soon though?
February 8 at 6:01pm,jack,lottie,Grooming,Yeah maybe.
February 8 at 6:30pm,lottie,chloe,Normal,"""Sorry hun but Jack wants to spend Saturday together, just the two of us."""
February 8 at 6:35pm,chloe,lottie,Normal,Oh thats a shame. Can we meet Sunday instead?
February 8 at 6:40pm,lottie,chloe,Normal,"""Jack is always busy Sundays. He plays football. Hes really in to it, he switches his phone off and everything! Hes in the Black Horse local league team."""
February 8 at 6:43pm,chloe,lottie,Normal,Thats weird. My bro is on that team and I don't think he knows Jack :/
February 8 at 6:55pm,lottie,chloe,Normal,I might be wrong about the team name....I can't really remember!
February 9 at 9:10pm,jack,lottie,Grooming,"""Was really nice chatting to you on the phone tonight. I like talking online, but I like hearing your voice better. I like seeing you EVEN BETTER! ;) xxx"""
February 9 at 9:23pm,lottie,jack,Grooming,Well you'll see me Saturday :)
February 9 at 9:25pm,jack,lottie,Grooming,"""I can't wait to be able to see you and touch you. I miss you. Sweet dreams baby, dream of me! ;) xxx"""
February 9 at 9:30pm,lottie,jack,Grooming,I will. Night night xxx
February 10 at 8:35am,jack,lottie,Grooming,I can't wait to see you tomorrow. I mean really I can't wait. Can you send me some pics so I can see you right now?
February 10 at 8:39am,lottie,jack,Grooming,I'm just on my way to school so I can't right now!
February 10 at 8:41am,jack,lottie,Grooming,"""Ok. How about when you get home then, and you are getting changed out of your uniform? ;)"""
February 10 at 4:01pm,jack,lottie,Grooming,"""Hey babe, have you taken any special pics just for me yet?"""
February 10 at 4:10pm,lottie,jack,Grooming,No I've just got in from school.
February 10 at 4:12pm,jack,lottie,Grooming,"""Ok. Well when you get changed you can take some then. I want to see what you look like under your clothes ;) Send them to me via quicksnap as then they will be totally private. The message only lasts 10 seconds then gets deleted, so it will be for my eyes only. You are beautiful and I'm really missing you."""
February 10 at 4:22pm,lottie,jack,Grooming,I'm not sure. I'll think about it.
February 10 at 4:24pm,jack,lottie,Grooming,Ok babe. Just don't think too long. I dont think I can wait!
February 10 at 5:56pm,lottie,jack,Grooming,"Hey gorgeous, are you going to send me those pics? I'll send you one of me if that would help make you feel more comfortable? You know you can trust me right? I really care about you. And remember its just between us."
February 10 at 6:15pm,jack,lottie,Grooming,Did you get my pic? Did you like it? I really want to see you now.
February 10 at 6:30pm,lottie,jack,Grooming,"Yes I got it. And yes, wow, I liked it. I'm just worried as I've never done this before."
February 10 at 6:31pm,jack,lottie,Grooming,"Don't worry about a thing. I think you are amazing and I just really want to see some pics of you, that no one else has seen, as I'm really missing you xxxx"
February 11 at 9:34am,jack,lottie,Grooming,Sorry for putting that message up on your wall - I meant to send it privately. And now your friends have seen it.
February 11 at 9:39am,lottie,jack,Grooming,No it ok. I like showing you off anyway! ;)
February 11 at 9:41am,jack,lottie,Grooming,That's cool with me! I'll see you soon for lunch :) xxx
February 12 at 10:45am,louise,lottie,Normal,"Hey Lottie. How are things? I saw you had been quicksnapping with Jack, I hope you weren't doing anything dodgy!"
February 12 at 10:49am,lottie,louise,Normal,Of course I wasn't!
February 12 at 10:51am,louise,lottie,Normal,I know he is older than us so I worry about you abit.
February 12 at 10:52am,lottie,louise,Normal,Theres nothing to worry about! Jack is amazing! I really like him. I think he likes me too!
February 12 at 10:54am,louise,lottie,Normal,That's great. :) But be careful Lottie. Don't get carried away.
February 14 at 7:35am,lottie,jack,Grooming,"I just tried calling you but your phone was switched off :/ I just wanted to say wow, thanks so much for the card and present. Did you mean what you said in the card?"
February 14 at 9:05am,jack,lottie,Grooming,Of course baby. I love you. I wish I could see all of you today. Maybe you could send me a pic of you wearing the necklace I gave you....and nothing else xxxx
February 14 at 9:14am,lottie,jack,Grooming,I love you too. Maybe when I am alone I'll take some pics Xxx
February 14 at 9:19am,jack,lottie,Grooming,That would be amazing :) xxx
February 14 at 7:20pm,lottie,chloe,Normal,OMG! Did you see what Jack said on my post on Picturegram?!? He said he loves me!!! Do you think he means it or is he just joking around?
February 14 at 7:23pm,chloe,lottie,Normal,Wow thats so exciting!! He must mean it! He wouldn't say it otherwise! Specially not somewhere public like Picturegram.
February 14 at 7:26pm,lottie,chloe,Normal,He put it in the card too! :) :) :)
February 15 at 8:12am,lottie,chloe,Normal,Eeek my mum saw the necklace that Jack sent to me and asked me who sent it!
February 15 at 8:15am,chloe,lottie,Normal,OMG! What did you say???
February 15 at 8:18am,lottie,chloe,Normal,I told her the truth. I thought that as me and Jack are serious now its about time.
February 15 at 8:20am,chloe,lottie,Normal,Wow! What did she say?
February 15 at 8:21am,lottie,chloe,Normal,"She was pretty shocked. She didn't say much, but she wants to meet him!"
February 15 at 8:23am,chloe,lottie,Normal,Wow! Good luck!
February 15 at 8:30am,lottie,jack,Grooming,"Hi handsome, how are you? My mum saw the necklace you sent me yesterday and she wanted to know who sent it. I couldn't think of a lie so I told her the truth. :/ I hope thats ok. She really wants to meet you. She asked if you could come round for dinner on Friday?"
February 15 at 8:45am,jack,lottie,Grooming,I don't know Lottie... I told you it was best if she didn't know about us.
February 15 at 8:48am,lottie,jack,Grooming,"I know you did, but I thought as we are serious now she needed to know. It will be much easier not having to keep a secret too. So will you come? I'm sure she will love you as much as I do xx"
February 15 at 8:52am,jack,lottie,Grooming,"Ok, I'll be there."
February 15 at 7:34pm,lottie,jack,Grooming,Are you ok? You've been really quiet all day. Are you annoyed about meeting mum?
February 15 at 8:55pm,jack,lottie,Grooming,I'm not annoyed. I just don't know if it will work out. I feel a bit funny about it.
February 15 at 9:04pm,lottie,jack,Grooming,I'm sorry :(
February 15 at 9:12pm,jack,lottie,Grooming,Its ok. You can make up for it by sending me those pics you promised me on valentines day ;) I would love to see you wearing that neacklace I bought you. I bet you look great in it xxx
February 15 at 9:16pm,lottie,jack,Grooming,Ok. Shall I use quicksnap again?
February 15 at 9:17pm,jack,lottie,Grooming,"""Yep thats the safest way. Thanks babe, can't wait to see them xxx"""
February 16 at 8:01am,jack,lottie,Grooming,You looked so amazing in those pics you sent last night babe. I went to bed dreaming of you xxx
February 16 at 8:15am,lottie,jack,Grooming,I'm glad you liked them. I was nervous. When I sent them it came up with a message saying you had screenshotted them - why did you do that?
February 16 at 8:23am,jack,lottie,Grooming,Relax! I just wanted to keep a copy of them so I could look at them whenever I want. I promise I won't show them to anyone else. I've password protected them on my computer.xx
February 16 at 8:27am,lottie,jack,Grooming,Oh ok.
February 18 at 7:15pm,liam,lottie,Normal,"""Hey Lottie. I was hanging out with some new friends today, and they were a bit creepy to be honest. They had all these photos of girls undressing. I thought I saw you in one of them - are you ok?"""
February 18 at 7:37pm,lottie,liam,Normal,You must have made a mistake. It couldn't have been me.
February 18 at 7:45pm,lottie,jack,Grooming,Some guy told me that he thinks he saw pictures of me undressed. I'm really scared. They can't really be pictures of me can they?
February 18 at 8:03pm,jack,lottie,Grooming,"""No way. Don't worry babe, it must have been someone who looks like you. I would never show anyone photos of you. I don't want other people to see my girlfriend! Anyway you used quicksnap which doesn't save them."""
February 18 at 8:04pm,lottie,jack,Grooming,But what about the ones you screenshotted?!
February 18 at 8:07pm,jack,lottie,Grooming,"""I password protected them remember. No one else can see them, I promise. xxx"""
February 19 at 10:56am,liam,lottie,Normal,"""Lottie I'm really worried about you. I was hanging out with those guys again and they had naked photos of girls this time. I'm really sure one of them wa you. Have you taken any photos like that? The guys were really creepy. I'm not going to hang out with them again, I think they are bad news. You really need to be careful."""
February 19 at 10:58am,lottie,liam,Normal,"""I haven't taken any photos like that, it can't have been me. Just leave me alone ok?"""
February 20 at 4:55pm,jack,lottie,Grooming,"""Hi babe, are you ok? I haven't heard from you since Saturday."""
February 20 at 8:00pm,jack,lottie,Grooming,Lottie I'm really missing you. Please message me back. I love you xxxx
February 21 at 5:30pm,jack,lottie,Grooming,Are you ok Lottie? You didn't reply to my messages or texts last night. I tried calling too.
February 21 at 5:50pm,lottie,jack,Grooming,"""I'm ok, but I'm worried cos I got another message from that guy about photos. I feel really funny. I hate the thought of someone seeing photos of me like that. I'm really upset."""
February 21 at 5:54pm,jack,lottie,Grooming,"""I know, it sucks, but you have nothing to worry about. He must have made a mistake."""
February 21 at 6:25pm,chloe,lottie,Normal,Whats going on Lottie? What was Jack's message about? He was pretty harsh to me.
February 21 at 6:28pm,lottie,chloe,Normal,"""Sorry about that. Don't worry though, its fine."""
February 21 at 6:32pm,lottie,jack,Grooming,Please don't say anything else on my wall as my friends don't know about the photos. I just want to forget all about it. Please don't be rude to them either!
February 21 at 6:35pm,jack,lottie,Grooming,I'm really sorry. I just got really mad as I don't like to see you upset. I'll make it up to you I promise xxx
February 22 at 8:18am,chloe,lottie,Normal,Are you ok? Is everything ok with you and Jack? He isn't pressurising you into taking things further is he?
February 22 at 8:22am,lottie,chloe,Normal,No hes not. Everythings fine. We are close though.
February 22 at 8:24am,chloe,lottie,Normal,"""Ok, as long as he isn't forcing you into anything you don't want to do."""
February 22 at 8:28am,lottie,chloe,Normal,No he isn't like that.
February 22 at 5:14pm,louise,lottie,Normal,How come you didn't go to swimming lessons this afternon? Did you go home?
February 22 at 5:34pm,lottie,louise,Normal,"""Yeah, I wasn't feeling too well."""
February 22 at 7:56pm,jack,lottie,Grooming,Hi babe. Hope you are ok. Don't let that guy talking about photos get you down. You know I love you and wouldn't do anything to hurt you don't you?
February 22 at 8:01pm,lottie,jack,Grooming,"""Yes I do, and I love you too."""
February 22 at 8:06pm,jack,lottie,Grooming,I want everything to be private between us. You are so special to me. Can we meet this weekend? Maybe I can meet your friends? You wanted me to a while ago didn't you? Then I can show them that I won't hurt you.
February 22 at 8:09pm,lottie,jack,Grooming,That would be great! Let's go bowling or something.
February 23 at 4:34pm,jamila,lottie,Normal,Did you see those photos the boys in class were looking at earlier?
February 23 at 4:36pm,lottie,jamila,Normal,No...what were they?
February 23 at 4:37pm,jamila,lottie,Normal,"""Photos of models in underwear. They were going on about how hot they look, and how they wished girls at school look like that. That's yucky!"""
February 23 at 4:38pm,lottie,jamila,Normal,"""Ew, yucky :/"""
February 23 at 8:45pm,jack,lottie,Grooming,I enjoyed our chat on the phone earlier. I want you to watch the video I text you a link to. Don't watch it with your mum or brother around! It shows what I want to do with you.
February 23 at 9:01pm,lottie,chloe,Normal,Do you know any good websites that talk about safe sex and stuff?
February 23 at 9:07pm,chloe,lottie,Normal,"""Maybe, I'll check. What do you want to know? I'm worried about you."""
February 23 at 9:11pm,lottie,chloe,Normal,Nothing to worry about! I just need some info for biology class.
February 23 at 9:14pm,chloe,lottie,Normal,Pheww. You would tell me if something was going on wouldn't you?
February 23 at 9:17pm,lottie,chloe,Normal,Yep of course! =)
February 23 at 10:05pm,jack,lottie,Grooming,What did you think about that video? Do you want to get close to me like that? I love you so much. xxx
February 23 at 10:35pm,lottie,jack,Grooming,It could be fun ;)
February 24 at 8:45am,jack,lottie,Grooming,Can't wait to see you tomorrow gorgeous!
February 24 at 8:47am,lottie,jack,Grooming,Me neither! Are you still ok with meeting my friends?
February 24 at 8:48am,jack,lottie,Grooming,Yes as long as we can have some alone time in the evening ;) Do you want to come round to my house? My parents are going to be out.
February 24 at 8:51am,lottie,jack,Grooming,Yes maybe. I'll have to see if I'm allowed.
February 24 at 4:12pm,jack,lottie,Grooming,You aren't still worried about those photos are you? You know you can trust me dont you?
February 24 at 4:22pm,lottie,jack,Grooming,I know I can trust you...but I just feel funny about them. I hate the thought of other people looking at my body. I feel self conscious now.
February 24 at 4:25pm,jack,lottie,Grooming,But you look amazing! You are the most gorgeous girl I have ever seen. I wish I could see you in real life like you were in those photos. We could do the stuff in the video tomorrow night. I love you. xxx
February 24 at 4:32pm,lottie,jack,Grooming,I love you too.
February 25 at 5:47pm,lottie,jack,Grooming,"""Today was really nice. My friends all really like you :) I'm really sorry I couldn't come round to yours tonight, but mum wants me to babysit again."""
February 25 at 5:49pm,jack,lottie,Grooming,"""I had fun too. Don't worry about tonight. My parents are going on holiday soon, so maybe you can come round then?! Xxxx"""
February 25 at 5:51pm,lottie,jack,Grooming,Yep hopefully! xx
March 1 at 7:56pm,jack,lottie,Grooming,"""Hey babe, I heard about a really cool party on Friday night. Do you want to come?"""
March 1 at 8:15pm,lottie,jack,Grooming,What sort of party?
March 1 at 8:35pm,jack,lottie,Grooming,"""Its a party at my mates house. Its going to be epic. I would like to take you, and show you off."""
March 1 at 8:39pm,lottie,jack,Grooming,Ok. Sounds fun.
