Date,Time,Sender,Receiver,Label,Message
Feb-07,7:58pm,jack,lottie,Grooming,It was great seeing you today. I can't stop thinking about how cute you are. I really WANT you babes.
Feb-07,8:20pm,lottie,jack,Grooming,Aw that is really sweet! I had lots of fun today.
Feb-07,8:23pm,jack,lottie,Grooming,When can we get together again?
Feb-07,8:26pm,lottie,jack,Grooming,The weekend?
Feb-07,8:28pm,jack,lottie,Grooming,But that's ages way! :(
Feb-07,8:35pm,lottie,jack,Grooming,"""I know, but I can't risk staying out after school when mums not working as she will ask me where I've been."""
Feb-07,8:36pm,jack,lottie,Grooming,:(
Feb-07,8:38pm,lottie,jack,Grooming,I'm sorry :(
Feb-08,5:20pm,lottie,jack,Grooming,My friends really want to meet you. They have heard so much about you! Can we all hang out together on Sat?
Feb-08,5:45pm,jack,lottie,Grooming,Hmm I'm not sure. I like having you ALL to myself. Xx
Feb-08,5:50pm,lottie,jack,Grooming,Ok. Soon though?
Feb-08,6:01pm,jack,lottie,Grooming,Yeah maybe.
Feb-09,9:10pm,jack,lottie,Grooming,"""Was really nice chatting to you on the phone tonight. I like talking online, but I like hearing your voice better. I like seeing you EVEN BETTER! ;) xxx"""
Feb-09,9:23pm,lottie,jack,Grooming,Well you'll see me Saturday :)
Feb-09,9:25pm,jack,lottie,Grooming,"""I can't wait to be able to see you and touch you. I miss you. Sweet dreams baby, dream of me! ;) xxx"""
Feb-09,9:30pm,lottie,jack,Grooming,I will. Night night xxx
Feb-10,8:35am,jack,lottie,Grooming,I can't wait to see you tomorrow. I mean really I can't wait. Can you send me some pics so I can see you right now?
Feb-10,8:39am,lottie,jack,Grooming,I'm just on my way to school so I can't right now!
Feb-10,8:41am,jack,lottie,Grooming,"""Ok. How about when you get home then, and you are getting changed out of your uniform? ;)"""
Feb-10,4:01pm,jack,lottie,Grooming,"""Hey babe, have you taken any special pics just for me yet?"""
Feb-10,4:10pm,lottie,jack,Grooming,No I've just got in from school.
Feb-10,4:12pm,jack,lottie,Grooming,"""Ok. Well when you get changed you can take some then. I want to see what you look like under your clothes ;) Send them to me via quicksnap as then they will be totally private. The message only lasts 10 seconds then gets deleted, so it will be for my eyes only. You are beautiful and I'm really missing you."""
Feb-10,4:22pm,lottie,jack,Grooming,I'm not sure. I'll think about it.
Feb-10,4:24pm,jack,lottie,Grooming,Ok babe. Just don't think too long. I dont think I can wait!
Feb-10,5:56pm,lottie,jack,Grooming,"Hey gorgeous, are you going to send me those pics? I'll send you one of me if that would help make you feel more comfortable? You know you can trust me right? I really care about you. And remember its just between us."
Feb-10,6:15pm,jack,lottie,Grooming,Did you get my pic? Did you like it? I really want to see you now.
Feb-10,6:30pm,lottie,jack,Grooming,"Yes I got it. And yes, wow, I liked it. I'm just worried as I've never done this before."
Feb-10,6:31pm,jack,lottie,Grooming,"Don't worry about a thing. I think you are amazing and I just really want to see some pics of you, that no one else has seen, as I'm really missing you xxxx"
Feb-11,9:34am,jack,lottie,Grooming,Sorry for putting that message up on your wall - I meant to send it privately. And now your friends have seen it.
Feb-11,9:39am,lottie,jack,Grooming,No it ok. I like showing you off anyway! ;)
Feb-11,9:41am,jack,lottie,Grooming,That's cool with me! I'll see you soon for lunch :) xxx
Feb-14,7:35am,lottie,jack,Grooming,"I just tried calling you but your phone was switched off :/ I just wanted to say wow, thanks so much for the card and present. Did you mean what you said in the card?"
Feb-14,9:05am,jack,lottie,Grooming,Of course baby. I love you. I wish I could see all of you today. Maybe you could send me a pic of you wearing the necklace I gave you....and nothing else xxxx
Feb-14,9:14am,lottie,jack,Grooming,I love you too. Maybe when I am alone I'll take some pics Xxx
Feb-14,9:19am,jack,lottie,Grooming,That would be amazing :) xxx
Feb-15,8:30am,lottie,jack,Grooming,"Hi handsome, how are you? My mum saw the necklace you sent me yesterday and she wanted to know who sent it. I couldn't think of a lie so I told her the truth. :/ I hope thats ok. She really wants to meet you. She asked if you could come round for dinner on Friday?"
Feb-15,8:45am,jack,lottie,Grooming,I don't know Lottie... I told you it was best if she didn't know about us.
Feb-15,8:48am,lottie,jack,Grooming,"I know you did, but I thought as we are serious now she needed to know. It will be much easier not having to keep a secret too. So will you come? I'm sure she will love you as much as I do xx"
Feb-15,8:52am,jack,lottie,Grooming,"Ok, I'll be there."
Feb-15,7:34pm,lottie,jack,Grooming,Are you ok? You've been really quiet all day. Are you annoyed about meeting mum?
Feb-15,8:55pm,jack,lottie,Grooming,I'm not annoyed. I just don't know if it will work out. I feel a bit funny about it.
Feb-15,9:04pm,lottie,jack,Grooming,I'm sorry :(
Feb-15,9:12pm,jack,lottie,Grooming,Its ok. You can make up for it by sending me those pics you promised me on valentines day ;) I would love to see you wearing that neacklace I bought you. I bet you look great in it xxx
Feb-15,9:16pm,lottie,jack,Grooming,Ok. Shall I use quicksnap again?
Feb-15,9:17pm,jack,lottie,Grooming,"""Yep thats the safest way. Thanks babe, can't wait to see them xxx"""
Feb-16,8:01am,jack,lottie,Grooming,You looked so amazing in those pics you sent last night babe. I went to bed dreaming of you xxx
Feb-16,8:15am,lottie,jack,Grooming,I'm glad you liked them. I was nervous. When I sent them it came up with a message saying you had screenshotted them - why did you do that?
Feb-16,8:23am,jack,lottie,Grooming,Relax! I just wanted to keep a copy of them so I could look at them whenever I want. I promise I won't show them to anyone else. I've password protected them on my computer.xx
Feb-16,8:27am,lottie,jack,Grooming,Oh ok.
Feb-18,7:45pm,lottie,jack,Grooming,Some guy told me that he thinks he saw pictures of me undressed. I'm really scared. They can't really be pictures of me can they?
Feb-18,8:03pm,jack,lottie,Grooming,"""No way. Don't worry babe, it must have been someone who looks like you. I would never show anyone photos of you. I don't want other people to see my girlfriend! Anyway you used quicksnap which doesn't save them."""
Feb-18,8:04pm,lottie,jack,Grooming,But what about the ones you screenshotted?!
Feb-18,8:07pm,jack,lottie,Grooming,"""I password protected them remember. No one else can see them, I promise. xxx"""
Feb-20,4:55pm,jack,lottie,Grooming,"""Hi babe, are you ok? I haven't heard from you since Saturday."""
Feb-20,8:00pm,jack,lottie,Grooming,Lottie I'm really missing you. Please message me back. I love you xxxx
Feb-21,5:30pm,jack,lottie,Grooming,Are you ok Lottie? You didn't reply to my messages or texts last night. I tried calling too.
Feb-21,5:50pm,lottie,jack,Grooming,"""I'm ok, but I'm worried cos I got another message from that guy about photos. I feel really funny. I hate the thought of someone seeing photos of me like that. I'm really upset."""
Feb-21,5:54pm,jack,lottie,Grooming,"""I know, it sucks, but you have nothing to worry about. He must have made a mistake."""
Feb-21,6:32pm,lottie,jack,Grooming,Please don't say anything else on my wall as my friends don't know about the photos. I just want to forget all about it. Please don't be rude to them either!
Feb-21,6:35pm,jack,lottie,Grooming,I'm really sorry. I just got really mad as I don't like to see you upset. I'll make it up to you I promise xxx
Feb-22,7:56pm,jack,lottie,Grooming,Hi babe. Hope you are ok. Don't let that guy talking about photos get you down. You know I love you and wouldn't do anything to hurt you don't you?
Feb-22,8:01pm,lottie,jack,Grooming,"""Yes I do, and I love you too."""
Feb-22,8:06pm,jack,lottie,Grooming,I want everything to be private between us. You are so special to me. Can we meet this weekend? Maybe I can meet your friends? You wanted me to a while ago didn't you? Then I can show them that I won't hurt you.
Feb-22,8:09pm,lottie,jack,Grooming,That would be great! Let's go bowling or something.
Feb-23,8:45pm,jack,lottie,Grooming,I enjoyed our chat on the phone earlier. I want you to watch the video I text you a link to. Don't watch it with your mum or brother around! It shows what I want to do with you.
Feb-23,10:05pm,jack,lottie,Grooming,What did you think about that video? Do you want to get close to me like that? I love you so much. xxx
Feb-23,10:35pm,lottie,jack,Grooming,It could be fun ;)
Feb-24,8:45am,jack,lottie,Grooming,Can't wait to see you tomorrow gorgeous!
Feb-24,8:47am,lottie,jack,Grooming,Me neither! Are you still ok with meeting my friends?
Feb-24,8:48am,jack,lottie,Grooming,Yes as long as we can have some alone time in the evening ;) Do you want to come round to my house? My parents are going to be out.
Feb-24,8:51am,lottie,jack,Grooming,Yes maybe. I'll have to see if I'm allowed.
Feb-24,4:12pm,jack,lottie,Grooming,You aren't still worried about those photos are you? You know you can trust me dont you?
Feb-24,4:22pm,lottie,jack,Grooming,I know I can trust you...but I just feel funny about them. I hate the thought of other people looking at my body. I feel self conscious now.
Feb-24,4:25pm,jack,lottie,Grooming,But you look amazing! You are the most gorgeous girl I have ever seen. I wish I could see you in real life like you were in those photos. We could do the stuff in the video tomorrow night. I love you. xxx
Feb-24,4:32pm,lottie,jack,Grooming,I love you too.
Feb-25,5:47pm,lottie,jack,Grooming,"""Today was really nice. My friends all really like you :) I'm really sorry I couldn't come round to yours tonight, but mum wants me to babysit again."""
Feb-25,5:49pm,jack,lottie,Grooming,"""I had fun too. Don't worry about tonight. My parents are going on holiday soon, so maybe you can come round then?! Xxxx"""
Feb-25,5:51pm,lottie,jack,Grooming,Yep hopefully! xx
Mar-01,7:56pm,jack,lottie,Grooming,"""Hey babe, I heard about a really cool party on Friday night. Do you want to come?"""
Mar-01,8:15pm,lottie,jack,Grooming,What sort of party?
Mar-01,8:35pm,jack,lottie,Grooming,"""Its a party at my mates house. Its going to be epic. I would like to take you, and show you off."""
Mar-01,8:39pm,lottie,jack,Grooming,Ok. Sounds fun.
